"GeneSymbol","Name","NCBI_Entrez_ID","HGNC_ID","Ensembl_Gene","Ensembl_Nucleotide","Ensembl_Protein","RefSeq_Nucleotide","RefSeq_Protein","Database","Uniprot_ID"
"CFC1B","cripto, FRL-1, cryptic family 1B",653275,"HGNC:33983","ENSG00000152093.8","ENST00000281882.8","ENSP00000281882.3","NM_001079530.2","NP_001072998.1","MANE Select","P0CG36;A0A087WWE4;A0A087X0G3"
"CFD","complement factor D",1675,"HGNC:2771","ENSG00000197766.9","ENST00000327726.11","ENSP00000332139.4","NM_001928.4","NP_001919.2","MANE Select","P00746;K7ERG9"
"CFDP1","craniofacial development protein 1",10428,"HGNC:1873","ENSG00000153774.9","ENST00000283882.4","ENSP00000283882.3","NM_006324.3","NP_006315.1","MANE Select","Q9UEE9;H3BQ17"
"CFH","complement factor H",3075,"HGNC:4883","ENSG00000000971.17","ENST00000367429.9","ENSP00000356399.4","NM_000186.4","NP_000177.2","MANE Select","A0A0D9SG88;Q5TFM2"
"CFHR1","complement factor H related 1",3078,"HGNC:4888","ENSG00000244414.8","ENST00000320493.10","ENSP00000314299.5","NM_002113.3","NP_002104.2","MANE Select","Q03591;B1AKG0"
"CFHR2","complement factor H related 2",3080,"HGNC:4890","ENSG00000080910.14","ENST00000367415.8","ENSP00000356385.4","NM_005666.4","NP_005657.1","MANE Select","P36980;A0A3B3IQ51;V9GYE7;A0A3B3IRW0;A0A3B3IS00;A0A3B3IS28"
"CFHR3","complement factor H related 3",10878,"HGNC:16980","ENSG00000116785.15","ENST00000367425.9","ENSP00000356395.5","NM_021023.6","NP_066303.2","MANE Select","Q02985;Q6NSD3"
"CFHR4","complement factor H related 4",10877,"HGNC:16979","ENSG00000134365.15","ENST00000608469.6","ENSP00000477162.2","NM_001201550.3","NP_001188479.1","MANE Select","Q92496"
"CFHR5","complement factor H related 5",81494,"HGNC:24668","ENSG00000134389.11","ENST00000256785.5","ENSP00000256785.4","NM_030787.4","NP_110414.1","MANE Select","Q9BXR6"
"CFI","complement factor I",3426,"HGNC:5394","ENSG00000205403.15","ENST00000394634.7","ENSP00000378130.2","NM_000204.5","NP_000195.3","MANE Select","P05156;G3XAM2;D6R9Z8;E7ETH0"
"CFL1","cofilin 1",1072,"HGNC:1874","ENSG00000172757.13","ENST00000308162.10","ENSP00000309629.5","NM_005507.3","NP_005498.1","MANE Select","G3V1A4;P23528;V9HWI5;E9PK25;E9PLJ3;E9PS23;E9PQB7;E9PP50"
"CFL2","cofilin 2",1073,"HGNC:1875","ENSG00000165410.15","ENST00000298159.11","ENSP00000298159.6","NM_138638.5","NP_619579.1","MANE Select","Q549N0;Q9Y281;F8WDN3;G3V2U0"
"CFLAR","CASP8 and FADD like apoptosis regulator",8837,"HGNC:1876","ENSG00000003402.21","ENST00000309955.8","ENSP00000312455.2","NM_003879.7","NP_003870.4","MANE Select","A0A336TY74;O15519;A0A024R3Y3;A0A024R3Y4;F8WBH9;M0QY57;E9PAP3;M0R1A8;M0QYM0;C9J4Q0;C9JSU3;C9JV51;C9J408"
"CFP","complement factor properdin",5199,"HGNC:8864","ENSG00000126759.14","ENST00000396992.8","ENSP00000380189.3","NM_001145252.3","NP_001138724.1","MANE Select","P27918;A0A0S2Z4I5;E9PAQ1;C9J7V5"
"CFTR","CF transmembrane conductance regulator",1080,"HGNC:1884","ENSG00000001626.18","ENST00000003084.11","ENSP00000003084.6","NM_000492.4","NP_000483.3","MANE Select","P13569;A0A024R730;E7EPB6;A0A669KBE8;C9J6L5;A0A3B3ITW0;A0A3B3ITW5;A0A3B3IT97"
"CGA","glycoprotein hormones, alpha polypeptide",1081,"HGNC:1885","ENSG00000135346.9","ENST00000627148.3","ENSP00000486024.1","NM_000735.4","NP_000726.1","MANE Select","A0A0D9SGA7;Q6I9S8;P01215;A0A0D9SFJ6;A0A0R4J2F0;A0A087WYZ4"
"CGAS","cyclic GMP-AMP synthase",115004,"HGNC:21367","ENSG00000164430.17","ENST00000370315.4","ENSP00000359339.3","NM_138441.3","NP_612450.2","MANE Select","Q8N884;A0A7P0TBQ3"
"CGB1","chorionic gonadotropin subunit beta 1",114335,"HGNC:16721","ENSG00000267631.5","ENST00000301407.8","ENSP00000301407.6","NM_033377.2","NP_203695.2","MANE Select","K7ELM3"
"CGB2","chorionic gonadotropin subunit beta 2",114336,"HGNC:16722","ENSG00000104818.15","ENST00000359342.7","ENSP00000352295.6","NM_033378.2","NP_203696.2","MANE Select","Q6NT52;M0R0E6"
"CGB3","chorionic gonadotropin subunit beta 3",1082,"HGNC:1886","ENSG00000104827.12","ENST00000357383.4","ENSP00000349954.2","NM_000737.5","NP_000728.1","MANE Select","P0DN86;A0A0F7RQP8"
"CGB5","chorionic gonadotropin subunit beta 5",93659,"HGNC:16452","ENSG00000189052.7","ENST00000301408.7","ENSP00000301408.5","NM_033043.2","NP_149032.1","MANE Select","P0DN86;A0A0F7RQP8"
"CGB7","chorionic gonadotropin subunit beta 7",94027,"HGNC:16451","ENSG00000196337.13","ENST00000684222.1","ENSP00000507822.1","NM_001385261.1","NP_001372190.1","MANE Select","P0DN87;A0A0F7RQF0"
"CGB8","chorionic gonadotropin subunit beta 8",94115,"HGNC:16453","ENSG00000213030.6","ENST00000448456.4","ENSP00000403649.2","NM_033183.3","NP_149439.1","MANE Select","P0DN86;A0A0F7RQP8"
"CGGBP1","CGG triplet repeat binding protein 1",8545,"HGNC:1888","ENSG00000163320.12","ENST00000482016.6","ENSP00000420374.1","NM_001008390.2","NP_001008391.1","MANE Select","Q9UFW8;C9JUJ0"
"CGN","cingulin",57530,"HGNC:17429","ENSG00000143375.15","ENST00000271636.12","ENSP00000271636.7","NM_020770.3","NP_065821.1","MANE Select","Q9P2M7;A2A3M4;A6PVU7"
"CGNL1","cingulin like 1",84952,"HGNC:25931","ENSG00000128849.11","ENST00000281282.6","ENSP00000281282.5","NM_032866.5","NP_116255.2","MANE Select","Q0VF96"
"CGREF1","cell growth regulator with EF-hand domain 1",10669,"HGNC:16962","ENSG00000138028.17","ENST00000402394.6","ENSP00000385452.1","NM_006569.6","NP_006560.3","MANE Select","Q99674;A0A4W8W4R1;F8WE80"
"CGRRF1","cell growth regulator with ring finger domain 1",10668,"HGNC:15528","ENSG00000100532.13","ENST00000216420.12","ENSP00000216420.7","NM_006568.3","NP_006559.1","MANE Select","Q99675;G3V2K9;A0A7P0Z480;G3V229;A0A7P0Z4Q1;G3V412;M0QZQ7"
"CH25H","cholesterol 25-hydroxylase",9023,"HGNC:1907","ENSG00000138135.7","ENST00000371852.4","ENSP00000360918.2","NM_003956.4","NP_003947.1","MANE Select","O95992"
"CHAC1","ChaC glutathione specific gamma-glutamylcyclotransferase 1",79094,"HGNC:28680","ENSG00000128965.13","ENST00000617768.5","ENSP00000484644.2","NM_024111.6","NP_077016.3","MANE Select","Q9BUX1;H0YK90"
"CHAC2","ChaC glutathione specific gamma-glutamylcyclotransferase 2",494143,"HGNC:32363","ENSG00000143942.5","ENST00000295304.5","ENSP00000295304.4","NM_001008708.4","NP_001008708.1","MANE Select","Q8WUX2"
"CHAD","chondroadherin",1101,"HGNC:1909","ENSG00000136457.10","ENST00000508540.6","ENSP00000423812.1","NM_001267.3","NP_001258.2","MANE Select","O15335"
"CHADL","chondroadherin like",150356,"HGNC:25165","ENSG00000100399.16","ENST00000216241.14","ENSP00000216241.9","NM_138481.2","NP_612490.1","MANE Select","Q6NUI6;B0QYT2"
"CHAF1A","chromatin assembly factor 1 subunit A",10036,"HGNC:1910","ENSG00000167670.16","ENST00000301280.10","ENSP00000301280.4","NM_005483.3","NP_005474.2","MANE Select","Q13111;K7EME9;K7EJF1;K7EPA1"
"CHAF1B","chromatin assembly factor 1 subunit B",8208,"HGNC:1911","ENSG00000159259.8","ENST00000314103.6","ENSP00000315700.4","NM_005441.3","NP_005432.1","MANE Select","Q13112"
"CHAMP1","chromosome alignment maintaining phosphoprotein 1",283489,"HGNC:20311","ENSG00000198824.8","ENST00000361283.4","ENSP00000354730.1","NM_032436.4","NP_115812.1","MANE Select","Q96JM3;S4R3K0"
"CHAT","choline O-acetyltransferase",1103,"HGNC:1912","ENSG00000070748.19","ENST00000337653.7","ENSP00000337103.2","NM_020549.5","NP_065574.4","MANE Select","P28329;R4GN13;A0A1W2PP46;A0A1W2PRG4"
"CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1",118487,"HGNC:23518","ENSG00000172586.8","ENST00000372833.6","ENSP00000361923.5","NM_203298.3","NP_976043.1","MANE Select","Q96BP2;A6NJX6"
"CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10",400916,"HGNC:15559","ENSG00000250479.9","ENST00000484558.3","ENSP00000418428.3","NM_213720.3","NP_998885.1","MANE Select","B5MBW9;E5RGN4;Q8WYQ3;E5RH03"
"CHCHD2","coiled-coil-helix-coiled-coil-helix domain containing 2",51142,"HGNC:21645","ENSG00000106153.13","ENST00000395422.4","ENSP00000378812.3","NM_016139.4","NP_057223.1","MANE Select","Q9Y6H1"
"CHCHD3","coiled-coil-helix-coiled-coil-helix domain containing 3",54927,"HGNC:21906","ENSG00000106554.13","ENST00000262570.10","ENSP00000262570.5","NM_017812.4","NP_060282.1","MANE Select","Q9NX63;A4D1N4;C9JRZ6;F8WAR4"
"CHCHD4","coiled-coil-helix-coiled-coil-helix domain containing 4",131474,"HGNC:26467","ENSG00000163528.13","ENST00000396914.4","ENSP00000380122.3","NM_001098502.2","NP_001091972.1","MANE Select","Q8N4Q1;A0A024R2F8;A0A024R2I5"
"CHCHD5","coiled-coil-helix-coiled-coil-helix domain containing 5",84269,"HGNC:17840","ENSG00000125611.16","ENST00000324913.10","ENSP00000325655.5","NM_032309.4","NP_115685.1","MANE Select","Q9BSY4;F8WC14;A0A2U9EWT9"
"CHCHD6","coiled-coil-helix-coiled-coil-helix domain containing 6",84303,"HGNC:28184","ENSG00000159685.11","ENST00000290913.8","ENSP00000290913.3","NM_032343.3","NP_115719.1","MANE Select","Q9BRQ6;J3QTB2;J3QTA6"
"CHCHD7","coiled-coil-helix-coiled-coil-helix domain containing 7",79145,"HGNC:28314","ENSG00000170791.18","ENST00000355315.8","ENSP00000347469.3","NM_001011671.3","NP_001011671.1","MANE Select","Q9BUK0;E5RJ15;E5RII1;E5RHM5;J3KPV1;E5RFN2;E5RJ08"
"CHD1","chromodomain helicase DNA binding protein 1",1105,"HGNC:1915","ENSG00000153922.11","ENST00000614616.5","ENSP00000483667.1","NM_001270.4","NP_001261.2","MANE Select","O14646;H0Y8Z0;H0Y8V4"
"CHD1L","chromodomain helicase DNA binding protein 1 like",9557,"HGNC:1916","ENSG00000131778.20","ENST00000369258.8","ENSP00000358262.4","NM_004284.6","NP_004275.4","MANE Select","Q86WJ1;A0A494C1I3;A0A494C1H1;A0A087WZM7;A0A494C1S1;A0A494C0J6;A0A494C179;A0A494C1P7;A0A0A0MSH9;A0A087WWW4;A0A494C1H0;A0A494C0B8;A0A494C1F3;A0A0A0MRH8;A0A087WTM4;A0A494C111;A0A494C0F0"
"CHD2","chromodomain helicase DNA binding protein 2",1106,"HGNC:1917","ENSG00000173575.23","ENST00000394196.9","ENSP00000377747.4","NM_001271.4","NP_001262.3","MANE Select","O14647;A0A024RC75;B7Z3I4;A0A0D9SGA6;A0A0D9SEH6;A0A1B0GTM9;A0A0D9SFV4;A0A1B0GU59;A0A0D9SEP7;A0A0D9SF92;A0A0D9SGK0"
"CHD3","chromodomain helicase DNA binding protein 3",1107,"HGNC:1918","ENSG00000170004.19","ENST00000330494.12","ENSP00000332628.7","NM_001005273.3","NP_001005273.1","MANE Select","Q12873;K7EPV1;H7C3H7;H7C0J3;A0A5F9ZHX5;I3L229;A0A5F9ZHM2"
"CHD4","chromodomain helicase DNA binding protein 4",1108,"HGNC:1919","ENSG00000111642.16","ENST00000544040.7","ENSP00000440542.2","NM_001273.5","NP_001264.2","MANE Select","Q14839;A0A2R8YDW2;A0A0C4DGG9;F5GWX5;A0A2R8Y8B3;A0A2R8Y685;A0A2R8Y539;A0A2R8Y521;A0A2R8Y5J0;A0A2R8Y5Z7;A0A2R8Y212;A0A2R8YFD8;F5H596;A0A2R8YFK9;A0A2U3TZM0;A0A2R8Y5M9;A0A2R8YER1;F5H6N4;A0A2R8Y8C1;A0A2R8Y7X1"
"CHD5","chromodomain helicase DNA binding protein 5",26038,"HGNC:16816","ENSG00000116254.18","ENST00000262450.8","ENSP00000262450.3","NM_015557.3","NP_056372.1","MANE Select","Q8TDI0;F6T542;F2Z2R5"
"CHD6","chromodomain helicase DNA binding protein 6",84181,"HGNC:19057","ENSG00000124177.16","ENST00000373233.8","ENSP00000362330.3","NM_032221.5","NP_115597.3","MANE Select","Q8TD26;A0A075B6P4"
"CHD7","chromodomain helicase DNA binding protein 7",55636,"HGNC:20626","ENSG00000171316.14","ENST00000423902.7","ENSP00000392028.1","NM_017780.4","NP_060250.2","MANE Select","Q9P2D1;H0YDC1;E9PP20"
"CHD8","chromodomain helicase DNA binding protein 8",57680,"HGNC:20153","ENSG00000100888.15","ENST00000646647.2","ENSP00000495240.1","NM_001170629.2","NP_001164100.1","MANE Select","Q9HCK8;G3V303;A0A2R8YFI9;A0A2R8YFT4;A0A2R8Y808;A0A2R8Y840"
"CHD9","chromodomain helicase DNA binding protein 9",80205,"HGNC:25701","ENSG00000177200.18","ENST00000447540.6","ENSP00000396345.2","NM_001308319.2","NP_001295248.1","MANE Select","Q3L8U1;H3BV31;H3BSP3;H3BTW3;I3L340;A0A087WU44;H3BRU9"
"CHDH","choline dehydrogenase",55349,"HGNC:24288","ENSG00000016391.11","ENST00000315251.11","ENSP00000319851.5","NM_018397.5","NP_060867.2","MANE Select","Q8NE62;C9J7D8;C9JYW4"
"CHEK1","checkpoint kinase 1",1111,"HGNC:1925","ENSG00000149554.14","ENST00000438015.7","ENSP00000388648.1","NM_001114122.3","NP_001107594.1","MANE Select","O14757;E7EPP6;A0A087WT52;E9PQW7;E9PKQ3;E9PJI4;E9PPA5;E9PRU7"
"CHEK2","checkpoint kinase 2",11200,"HGNC:16627","ENSG00000183765.23","ENST00000404276.6","ENSP00000385747.1","NM_007194.4","NP_009125.1","MANE Select","O96017;A0A3B3ITA7;A0A7P0MUT5;C9JFD7;F8WCV2;H7C0V7;H7BZ30;B7ZBF7;B7ZBF8;A0A087X102"
"CHERP","calcium homeostasis endoplasmic reticulum protein",10523,"HGNC:16930","ENSG00000085872.15","ENST00000546361.7","ENSP00000439856.2","NM_006387.6","NP_006378.3","MANE Select","Q8IWX8;J3QK89"
"CHFR","checkpoint with forkhead and ring finger domains",55743,"HGNC:20455","ENSG00000072609.18","ENST00000450056.7","ENSP00000398735.2","NM_001161346.2","NP_001154818.1","MANE Select","Q96EP1;A0A096P6K8;F5H5P5;U3KPU9;F5GWH4;F5H829;F5H375;A0A087WUN4"
"CHGA","chromogranin A",1113,"HGNC:1929","ENSG00000100604.13","ENST00000216492.10","ENSP00000216492.5","NM_001275.4","NP_001266.1","MANE Select","P10645;G3V2Q7;G5E968"
"CHGB","chromogranin B",1114,"HGNC:1930","ENSG00000089199.10","ENST00000378961.9","ENSP00000368244.4","NM_001819.3","NP_001810.2","MANE Select","P05060;A0A0A0MT66"
"CHI3L1","chitinase 3 like 1",1116,"HGNC:1932","ENSG00000133048.13","ENST00000255409.8","ENSP00000255409.3","NM_001276.4","NP_001267.2","MANE Select","P36222;A0A024R969"
"CHI3L2","chitinase 3 like 2",1117,"HGNC:1933","ENSG00000064886.14","ENST00000369748.9","ENSP00000358763.4","NM_004000.3","NP_003991.2","MANE Select","Q15782;E9PP75;E9PIX1;E9PRL9;H0YEJ1;H0YE91;E9PPX4;E9PR52;E9PII8"
"CHIA","chitinase acidic",27159,"HGNC:17432","ENSG00000134216.19","ENST00000369740.6","ENSP00000358755.1","NM_201653.4","NP_970615.2","MANE Select","Q9BZP6;H7BXH6;Q5VUV5;E9PLJ2"
"CHIC1","cysteine rich hydrophobic domain 1",53344,"HGNC:1934","ENSG00000204116.12","ENST00000373502.10","ENSP00000362601.5","NM_001039840.4","NP_001034929.2","MANE Select","Q5VXU3;B7Z4S5"
"CHIC2","cysteine rich hydrophobic domain 2",26511,"HGNC:1935","ENSG00000109220.11","ENST00000263921.8","ENSP00000263921.3","NM_012110.4","NP_036242.1","MANE Select","Q9UKJ5;D6RDW7"
"CHID1","chitinase domain containing 1",66005,"HGNC:28474","ENSG00000177830.18","ENST00000323578.13","ENSP00000325055.8","NM_023947.4","NP_076436.3","MANE Select","Q9BWS9;H0YDL6;E9PI70;E9PRL3;E9PJ91;E9PJL0;E9PPH0;E9PPA0;E9PQZ0;E9PKF1;E9PIP0"
"CHIT1","chitinase 1",1118,"HGNC:1936","ENSG00000133063.16","ENST00000367229.6","ENSP00000356198.1","NM_003465.3","NP_003456.1","MANE Select","Q13231;D6REY1"
"CHKA","choline kinase alpha",1119,"HGNC:1937","ENSG00000110721.12","ENST00000265689.9","ENSP00000265689.4","NM_001277.3","NP_001268.2","MANE Select","P35790;E9PM06;H0YD02"
"CHKB","choline kinase beta",1120,"HGNC:1938","ENSG00000100288.20","ENST00000406938.3","ENSP00000384400.3","NM_005198.5","NP_005189.2","MANE Select","Q9Y259"
"CHL1","cell adhesion molecule L1 like",10752,"HGNC:1939","ENSG00000134121.10","ENST00000256509.7","ENSP00000256509.2","NM_006614.4","NP_006605.2","MANE Select","O00533;C9JH37;C9J905;C9JEY3;F8WEP4;A0A087X0M8;C9JW79"
"CHM","CHM Rab escort protein",1121,"HGNC:1940","ENSG00000188419.14","ENST00000357749.7","ENSP00000350386.2","NM_000390.4","NP_000381.1","MANE Select","P24386"
"CHML","CHM like Rab escort protein",1122,"HGNC:1941","ENSG00000203668.3","ENST00000366553.3","ENSP00000355511.1","NM_001381853.1","NP_001368782.1","MANE Select","P26374;A0A1B0GVX9;A0A1B0GVA4;A0A1B0GUK6"
"CHMP1A","charged multivesicular body protein 1A",5119,"HGNC:8740","ENSG00000131165.16","ENST00000397901.8","ENSP00000380998.3","NM_002768.5","NP_002759.2","MANE Select","A0A6Q8PFX8;Q9HD42;A0A6Q8PFF9;A0A6Q8PHU0;A0A6Q8PGI9;A0A6Q8PF26;A0A6Q8PF35;A0A6Q8PGM8;A0A6Q8PFF8;A0A6Q8PG85;F8VVT7;F8VUA2;A0A6Q8PGV2;F5H875"
"CHMP1B","charged multivesicular body protein 1B",57132,"HGNC:24287","ENSG00000255112.3","ENST00000526991.3","ENSP00000432279.1","NM_020412.5","NP_065145.2","MANE Select","Q7LBR1"
"CHMP2A","charged multivesicular body protein 2A",27243,"HGNC:30216","ENSG00000130724.10","ENST00000312547.7","ENSP00000310440.1","NM_014453.4","NP_055268.1","MANE Select","O43633;A0A024R4S0;M0R1T5"
"CHMP2B","charged multivesicular body protein 2B",25978,"HGNC:24537","ENSG00000083937.10","ENST00000263780.9","ENSP00000263780.4","NM_014043.4","NP_054762.2","MANE Select","A0A087WW88;Q9UQN3;B2RE76;C9J0A7"
"CHMP3","charged multivesicular body protein 3",51652,"HGNC:29865","ENSG00000115561.16","ENST00000263856.9","ENSP00000263856.4","NM_016079.4","NP_057163.1","MANE Select","Q9Y3E7"
"CHMP4A","charged multivesicular body protein 4A",29082,"HGNC:20274","ENSG00000254505.11","ENST00000347519.12","ENSP00000324205.11","NM_014169.5","NP_054888.3","MANE Select","Q9BY43;E9PQ80;H0YIN6;E9PQI5"
"CHMP4B","charged multivesicular body protein 4B",128866,"HGNC:16171","ENSG00000101421.4","ENST00000217402.3","ENSP00000217402.2","NM_176812.5","NP_789782.1","MANE Select","Q9H444"
"CHMP4C","charged multivesicular body protein 4C",92421,"HGNC:30599","ENSG00000164695.5","ENST00000297265.5","ENSP00000297265.4","NM_152284.4","NP_689497.1","MANE Select","Q96CF2"
"CHMP5","charged multivesicular body protein 5",51510,"HGNC:26942","ENSG00000086065.14","ENST00000223500.9","ENSP00000223500.7","NM_016410.6","NP_057494.3","MANE Select","Q9NZZ3"
"CHMP6","charged multivesicular body protein 6",79643,"HGNC:25675","ENSG00000176108.9","ENST00000325167.9","ENSP00000317468.5","NM_024591.5","NP_078867.2","MANE Select","Q96FZ7;I3L4A1;I3L3E4;I3L4G8"
"CHMP7","charged multivesicular body protein 7",91782,"HGNC:28439","ENSG00000147457.14","ENST00000397677.6","ENSP00000380794.1","NM_152272.5","NP_689485.1","MANE Select","Q8WUX9;E5RJI3;E5RIU9;E5RFR8"
"CHN1","chimerin 1",1123,"HGNC:1943","ENSG00000128656.15","ENST00000409900.9","ENSP00000386741.4","NM_001822.7","NP_001813.1","MANE Select","A0A494C0I4;P15882;F8WAY4;F8WCQ9;A0A494C1D3;A0A494C0V1;A0A494C1M7;A0A494C1R0;F8W6K2;A0A494C0C9;A0A494C0R6;A0A494C072;C9J3G1;B8ZZ96;A0A494C1Q9;A0A494C158;A0A494C1H3;C9JR98;A0A494C0I5;A0A494BZY1;C9J3V9;A0A494C0L5;C9J1N1;A0A494C1P5"
"CHN2","chimerin 2",1124,"HGNC:1944","ENSG00000106069.24","ENST00000222792.11","ENSP00000222792.7","NM_004067.4","NP_004058.1","MANE Select","B3VCF6;P52757;B3VCF5;B3VCF4;A0A2X0TVW3"
"CHODL","chondrolectin",140578,"HGNC:17807","ENSG00000154645.14","ENST00000299295.7","ENSP00000299295.2","NM_024944.3","NP_079220.2","MANE Select","A0A0C4DFS2;Q9H9P2"
"CHORDC1","cysteine and histidine rich domain containing 1",26973,"HGNC:14525","ENSG00000110172.12","ENST00000320585.11","ENSP00000319255.6","NM_012124.3","NP_036256.2","MANE Select","E9PL00;Q9UHD1;E9PIZ4;E9PHZ2;E9PIF7;E9PSD5;E9PPQ5"
"CHP1","calcineurin like EF-hand protein 1",11261,"HGNC:17433","ENSG00000187446.12","ENST00000334660.10","ENSP00000335632.5","NM_007236.5","NP_009167.1","MANE Select","Q99653;A0A024R9M9;H0YKE7;F5GX29;H0YNG9;H0YLX1"
"CHP2","calcineurin like EF-hand protein 2",63928,"HGNC:24927","ENSG00000166869.3","ENST00000300113.3","ENSP00000300113.2","NM_022097.4","NP_071380.1","MANE Select","O43745"
"CHPF","chondroitin polymerizing factor",79586,"HGNC:24291","ENSG00000123989.15","ENST00000243776.11","ENSP00000243776.6","NM_024536.6","NP_078812.3","MANE Select","Q8IZ52;F8W6H2;A0A8I5QJC8"
"CHPF2","chondroitin polymerizing factor 2",54480,"HGNC:29270","ENSG00000033100.17","ENST00000035307.7","ENSP00000035307.2","NM_019015.3","NP_061888.1","MANE Select","Q9P2E5;H7C5L5;G5E9W2;A0A8I5KRN5;A0A8I5KSK8;C9JZF7;A0A8I5KUJ5"
"CHPT1","choline phosphotransferase 1",56994,"HGNC:17852","ENSG00000111666.11","ENST00000229266.8","ENSP00000229266.3","NM_020244.3","NP_064629.2","MANE Select","Q8WUD6;F8W1B3"
"CHRAC1","chromatin accessibility complex subunit 1",54108,"HGNC:13544","ENSG00000104472.10","ENST00000220913.10","ENSP00000220913.5","NM_017444.6","NP_059140.1","MANE Select","Q9NRG0;E5RGS9;H0YBX4"
"CHRD","chordin",8646,"HGNC:1949","ENSG00000090539.16","ENST00000204604.6","ENSP00000204604.1","NM_003741.4","NP_003732.2","MANE Select","Q9H2X0;E7ESX1"
"CHRDL1","chordin like 1",91851,"HGNC:29861","ENSG00000101938.15","ENST00000372042.6","ENSP00000361112.1","NM_001143981.2","NP_001137453.1","MANE Select","Q9BU40;A0A452Q6Z9"
"CHRDL2","chordin like 2",25884,"HGNC:24168","ENSG00000054938.17","ENST00000376332.8","ENSP00000365510.3","NM_001278473.3","NP_001265402.1","MANE Select","Q6WN34;Q6WN33;A8MQ10"
"CHRFAM7A","CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion",89832,"HGNC:15781","ENSG00000166664.15","ENST00000299847.7","ENSP00000299847.3","NM_139320.2","NP_647536.1","MANE Select","Q494W8;A0A0G2JNX5;A0A0A6YYA8;A0A0G2JMC1;H3BPP0"
"CHRM1","cholinergic receptor muscarinic 1",1128,"HGNC:1950","ENSG00000168539.4","ENST00000306960.4","ENSP00000306490.3","NM_000738.3","NP_000729.2","MANE Select","P11229;Q53XZ3;F5GZF8"
"CHRM2","cholinergic receptor muscarinic 2",1129,"HGNC:1951","ENSG00000181072.12","ENST00000680005.1","ENSP00000505686.1","NM_001006630.2","NP_001006631.1","MANE Select","P08172;A4D1Q0"
"CHRM3","cholinergic receptor muscarinic 3",1131,"HGNC:1952","ENSG00000133019.12","ENST00000676153.1","ENSP00000502667.1","NM_001375978.1","NP_001362907.1","MANE Select","P20309;A0A024R3W1;B1AN12;A0A6Q8PG67"
"CHRM4","cholinergic receptor muscarinic 4",1132,"HGNC:1953","ENSG00000180720.8","ENST00000682254.1","ENSP00000507561.1","NM_000741.5","NP_000732.2","MANE Select","P08173"
"CHRM5","cholinergic receptor muscarinic 5",1133,"HGNC:1954","ENSG00000184984.10","ENST00000383263.7","ENSP00000372750.5","NM_012125.4","NP_036257.1","MANE Select","P08912;A0A024R9I2;H0YKC0"
"CHRNA1","cholinergic receptor nicotinic alpha 1 subunit",1134,"HGNC:1955","ENSG00000138435.16","ENST00000348749.9","ENSP00000261008.5","NM_000079.4","NP_000070.1","MANE Select","P02708;A0A1B0GV17;G5E9G9;Q53SH4;F8WDS3;B8ZZD3;E7ENE5"
"CHRNA10","cholinergic receptor nicotinic alpha 10 subunit",57053,"HGNC:13800","ENSG00000129749.3","ENST00000250699.2","ENSP00000250699.2","NM_020402.4","NP_065135.2","MANE Select","Q9GZZ6;E9PNT7;E9PNX2"
